locationinc,year,battledeaths
India,2012,416
India,2014,442
Sudan,2011,1404
South Sudan,2013,926
South Sudan,2011,216
South Sudan,2012,137
South Sudan,2014,1667
South Sudan,2015,493
South Sudan,2016,735
South Sudan,2017,484
South Sudan,2018,526
South Sudan,2019,110
South Sudan,2020,58
South Sudan,2021,188
Libya,2011,3762
Libya,2014,274
Libya,2015,274
Libya,2017,404
Libya,2019,1631
Libya,2020,668
Libya,2013,31
Mali,2012,218
Mali,2013,836
Mali,2015,172
Mali,2016,96
Mali,2009,126
Mali,2014,189
Mali,2017,359
Mali,2018,521
Mali,2019,603
Mali,2020,580
Mali,2021,726
Mali,2022,1436
China,2008,36
Bangladesh,2005,62
Bangladesh,2006,57
Ethiopia,1991,12225
Myanmar (Burma),1991,777
Myanmar (Burma),1995,317
Myanmar (Burma),2000,226
Myanmar (Burma),2001,215
Myanmar (Burma),2005,142
Myanmar (Burma),2006,244
Myanmar (Burma),2007,348
Malaysia,2013,70
Syria,2012,50486
Syria,2013,72006
Syria,2014,65333
Syria,2015,50174
Ukraine,2014,4887
Ukraine,2015,1786
Ukraine,2016,254
Ukraine,2017,415
Ukraine,2018,243
Ukraine,2019,311
Ukraine,2020,196
Ukraine,2021,208
Ukraine,2022,29
Russia (Soviet Union),2015,85
Russia (Soviet Union),2016,69
Russia (Soviet Union),2017,53
Russia (Soviet Union),2018,30
Russia (Soviet Union),2019,26
Russia (Soviet Union),2020,30
Syria,2016,43650
Syria,2017,24123
Syria,2018,13072
Syria,2019,7379
Syria,2020,4589
Syria,2021,1354
Syria,2022,877
Afghanistan,2015,17260
Afghanistan,2016,17916
Afghanistan,2017,18974
Afghanistan,2018,25679
Afghanistan,2019,29903
Afghanistan,2020,20475
Afghanistan,2021,35593
Afghanistan,2022,852
Cameroon,2015,995
Cameroon,2016,221
Cameroon,2019,693
Cameroon,2021,581
Niger,2015,171
Niger,2016,274
Niger,2017,229
Niger,2018,74
Niger,2019,283
Niger,2020,512
Niger,2021,456
Niger,2022,488
Chad,2015,272
Chad,2017,57
Chad,2018,150
Chad,2019,144
Chad,2020,196
Chad,2021,486
Chad,2022,45
Nigeria,2015,4766
Nigeria,2016,2451
Nigeria,2017,1879
Nigeria,2018,1171
Nigeria,2019,1341
Nigeria,2020,2024
Nigeria,2021,2002
Nigeria,2022,1550
Yemen (unified),2015,7113
Yemen (unified),2017,3071
Yemen (unified),2020,6288
Kenya,2015,42
Kenya,2016,49
Kenya,2017,85
Kenya,2018,69
Kenya,2019,61
Kenya,2020,94
Kenya,2021,78
Kenya,2022,72
Egypt,2015,767
Egypt,2016,355
Egypt,2017,497
Egypt,2018,680
Egypt,2019,637
Egypt,2020,527
Egypt,2021,112
Egypt,2022,231
India,2015,472
India,2016,597
India,2017,606
India,2018,722
Bangladesh,2016,41
Bangladesh,2017,47
Lebanon,2014,126
Lebanon,2015,76
Lebanon,2017,70
Libya,2016,1678
Libya,2018,44
Algeria,2015,110
Burkina Faso (Upper Volta),2019,349
Burkina Faso (Upper Volta),2020,512
Burkina Faso (Upper Volta),2021,991
Burkina Faso (Upper Volta),2022,2047
Jordan,2016,34
Turkey (Ottoman Empire),2015,933
Turkey (Ottoman Empire),2016,2602
Turkey (Ottoman Empire),2017,1457
Pakistan,2016,688
Pakistan,2017,586
Pakistan,2018,198
Pakistan,2019,214
Pakistan,2021,414
Pakistan,2022,677
Somalia,2018,2204
Cameroon,2017,98
Cameroon,2018,751
Cameroon,2020,429
Cameroon,2022,406
Somalia,2019,1943
Somalia,2020,1942
Somalia,2021,2172
Iran (Persia),2017,27
Philippines,2016,550
Philippines,2017,1621
Philippines,2018,420
Philippines,2019,309
Philippines,2020,348
Philippines,2021,266
Philippines,2022,193
Tunisia,2016,71
"Congo, Democratic Republic of (Zaire)",2019,347
