ccode,year,total_cou.s.d,total_cou.f.d,cou.s.d,cou.f.d,cou.any
41,1946,1,0,1,0,1
235,1946,0,1,0,1,1
93,1947,1,0,1,0,1
130,1947,0,1,0,1,1
800,1947,1,0,1,0,1
92,1948,1,0,1,0,1
94,1948,0,1,0,1,1
101,1948,1,0,1,0,1
135,1948,1,1,1,1,1
150,1948,1,1,1,1,1
315,1948,1,0,1,0,1
775,1948,0,1,0,1,1
92,1949,1,0,1,0,1
95,1949,1,0,1,0,1
150,1949,1,0,1,0,1
652,1949,1,0,1,0,1
800,1949,0,1,0,1,1
41,1950,1,0,1,0,1
145,1950,0,1,0,1,1
95,1951,1,0,1,0,1
145,1951,1,0,1,0,1
160,1951,0,1,0,1,1
652,1951,1,0,1,0,1
800,1951,1,1,1,1,1
40,1952,1,0,1,0,1
101,1952,0,1,0,1,1
130,1952,0,1,0,1,1
145,1952,1,0,1,0,1
651,1952,1,0,1,0,1
100,1953,1,0,1,0,1
145,1953,0,1,0,1,1
630,1953,1,0,1,0,1
90,1954,1,0,1,0,1
130,1954,0,1,0,1,1
135,1954,0,1,0,1,1
150,1954,1,0,1,0,1
651,1954,1,0,1,0,1
652,1954,1,0,1,0,1
90,1955,0,1,0,1,1
140,1955,1,0,1,0,1
150,1955,0,1,0,1,1
160,1955,2,1,1,1,1
678,1955,0,1,0,1,1
41,1956,1,0,1,0,1
91,1956,1,1,1,1,1
130,1956,0,1,0,1,1
135,1956,0,1,0,1,1
160,1956,0,1,0,1,1
40,1957,0,1,0,1,1
41,1957,3,0,1,0,1
90,1957,1,0,1,0,1
100,1957,1,0,1,0,1
663,1957,0,1,0,1,1
800,1957,1,0,1,0,1
100,1958,0,1,0,1,1
101,1958,0,3,0,1,1
145,1958,0,1,0,1,1
625,1958,1,0,1,0,1
645,1958,1,0,1,0,1
663,1958,0,1,0,1,1
770,1958,1,0,1,0,1
775,1958,1,0,1,0,1
800,1958,1,0,1,0,1
91,1959,0,1,0,1,1
140,1959,0,1,0,1,1
145,1959,0,1,0,1,1
625,1959,0,2,0,1,1
645,1959,0,1,0,1,1
90,1960,0,1,0,1,1
92,1960,1,0,1,0,1
101,1960,0,1,0,1,1
145,1960,0,1,0,1,1
160,1960,0,2,0,1,1
490,1960,1,0,1,0,1
530,1960,0,1,0,1,1
640,1960,1,0,1,0,1
812,1960,2,0,1,0,1
817,1960,0,1,0,1,1
92,1961,1,0,1,0,1
100,1961,0,1,0,1,1
101,1961,0,2,0,1,1
130,1961,1,0,1,0,1
160,1961,0,1,0,1,1
520,1961,0,1,0,1,1
530,1961,0,1,0,1,1
652,1961,1,0,1,0,1
660,1961,0,1,0,1,1
732,1961,1,0,1,0,1
42,1962,0,1,0,1,1
90,1962,0,1,0,1,1
101,1962,0,2,0,1,1
135,1962,1,0,1,0,1
160,1962,1,2,1,1,1
235,1962,0,1,0,1,1
433,1962,0,1,0,1,1
640,1962,0,1,0,1,1
652,1962,1,0,1,0,1
678,1962,1,0,1,0,1
775,1962,1,0,1,0,1
