locationinc,year,battledeaths
Mali,2022,1436
Ukraine,2022,29
Syria,2022,877
Afghanistan,2022,852
Niger,2022,488
Chad,2022,45
Nigeria,2022,1550
Kenya,2022,72
Egypt,2022,231
Burkina Faso (Upper Volta),2022,2047
Pakistan,2022,677
Cameroon,2022,406
Philippines,2022,193
"Congo, Democratic Republic of (Zaire)",2022,1120
Mozambique,2022,373
Benin,2022,30
Uganda,2022,25
Myanmar (Burma),2022,2038
India,2022,310
Yemen (unified),2022,2899
Israel,2022,84
Iraq,2022,335
Ethiopia,2022,101085
Burundi,2022,234
Colombia,2022,73
Indonesia,2022,46
Sudan,2022,47
Somalia,2022,3034
Turkey (Ottoman Empire),2022,575
Togo,2022,34
Angola,2022,25
Azerbaijan,2022,308
Central African Republic,2022,675
Thailand,2022,30
