year,country,ccode,mk_location_ever,mk_responsible_ever,mk_ongoing,widetargeting,narrowtargeting,candidaterestriction,partyban,judicialreform,religiousfreedom,freediscussion,ses_power_dist,pol_killing_approved,freemove_men4,freemove_women4,social_inequality,even_civilrights,repress_civilsoc,social_power_dist,minorityrule,reg.eap,reg.afr,reg.eur,reg.mna,reg.sca,ios.iccpr1,elf.ethnic,countryage.ln,battledeaths.ln,includesnonstate,popsize.ln.combined,imr.sqrt,gdppcgrowth.combined,coup.try.5yr,tradeshare.ln.combined,womeninparliament,efindex,discrimpop,ldiscrimpop,v2cldmovem_ord,v2cldmovew_ord,v2clkill_ord,v2clsocgrp_ord,v2clrgunev_ord,v2csreprss_ord,v2pepwrsoc_ord,v2elrstrct,v2psparban_ord,v2psoppaut_ord,v2jureform_ord,v2clrelig_ord,v2xcl_disc,v2pepwrses_ord,v2pepwrses,e_mipopula,e_cow_exports,e_cow_imports,v2csgender_ord,v2pepwrgen_ord,popsize,popsize.ln,v2mecenefm_ord,partyban.new,v2csgender_binary,v2mecenefm_binary,e_migdppc,e_migdpgro,tradeshare,tradeshare.ln,gdppcgrowth,wdi.trade.new,wdi.gdppc.new,wdi.gdppcgrow.new,wdi.popsize.new,wdi.imrate.new,wdi.trade.ln.new,wdi.popsize.ln,popsize.combined,battledeaths,datastartyear,countryage,anymk.ever,anymk.ongoing
1934,Germany,255,,,,,,1,0,0,1,0.04,0.424,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0.168,4.15888308335967,0,0,18.0199703144239,,0.09,,-4.79922299383031,,,,,2,2,0,0,2,0,0,1,0,0,0,1,0.04,2,0.424,66984.4,1640.551,1752.362,1,0,66984400,18.0199703144239,0,0,1,1,6150,0.09,0.00823614409820357,-4.79922299383031,0.09,,,,,,,,66984400,0,1934,63,,
1935,Germany,255,,,,,,1,0,0,1,0.035,0.424,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0.168,4.17438726989564,0,0,18.0270379757707,,0.07,,-4.87393524130434,,,,,2,2,0,0,2,0,0,1,0,0,0,1,0.035,2,0.424,67459.5,1719,1667,1,0,67459500,18.0270379757707,0,0,1,1,6567,0.07,0.0076432280813536,-4.87393524130434,0.07,,,,,,,,67459500,0,1934,64,,
1936,Germany,255,,,,,,1,0,0,1,0.035,0.424,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0.168,4.18965474202643,0,0,18.0340560356421,,0.08,,-4.89133276524776,,,,,2,2,0,0,2,0,0,1,0,0,0,1,0.035,2,0.424,67934.6,1921.031,1699.436,1,0,67934600,18.0340560356421,0,0,1,1,7095,0.08,0.00751140486155126,-4.89133276524776,0.08,,,,,,,,67934600,0,1934,65,,
1937,Germany,255,,,,,,1,0,0,1,0.035,0.424,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0.168,4.20469261939097,0,0,18.0410251854038,,0.05,,-4.71544947500197,,,,,2,2,0,0,2,0,0,1,0,0,0,1,0.035,2,0.424,68409.7,2376.759,2198.633,1,0,68409700,18.0410251854038,0,0,1,1,7468,0.05,0.00895583973599612,-4.71544947500197,0.05,,,,,,,,68409700,0,1934,66,,
1938,Germany,255,,,,,,1,0,0,1,0.035,0.424,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0.168,4.21950770517611,0,0,18.0479461020669,,0.07,,-4.82890299431322,,,,,2,2,0,0,2,0,0,1,0,0,0,1,0.035,2,0.424,68884.8,2162,2222,1,0,68884800,18.0479461020669,0,0,1,1,7960,0.07,0.0079952873325352,-4.82890299431322,0.07,,,,,,,,68884800,0,1934,67,,
1939,Germany,255,,,,,,1,0,0,1,0.035,0.086,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0.168,4.23410650459726,0,0,18.0548194486824,,0.08,,-4.92264891689975,,,,,1,2,0,0,2,0,0,1,0,0,0,1,0.035,2,0.086,69359.9,2264.824,2086.138,1,0,69359900,18.0548194486824,0,0,1,1,8617,0.08,0.00727982164126609,-4.92264891689975,0.08,,,,,,,,69359900,0,1934,68,,
1940,Germany,255,,,,,,1,0,0,1,0.035,0.086,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0.168,4.24849524204936,0,0,18.061645874722,,0,,-5.02477132498443,,,,,1,2,0,0,2,0,0,1,0,0,0,1,0.035,2,0.086,69835,1947.579,2005.602,1,0,69835000,18.061645874722,0,0,1,1,8612,0,0.00657308942440829,-5.02477132498443,0,,,,,,,,69835000,0,1934,69,,
1941,Germany,255,,,,,,1,0,0,1,0.035,0.086,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0.168,4.26267987704132,0,0,18.0581543565181,,0.06,,-6.81090435537822,,,,,1,2,0,0,2,0,0,1,0,0,0,1,0.035,2,0.086,69591.595,346.803,351.113,1,0,69591595,18.0581543565181,0,0,1,1,9103,0.06,0.00110169612449066,-6.81090435537822,0.06,,,,,,,,69591595,0,1934,70,,
1942,Germany,255,,,,,,1,0,0,1,0.035,0.086,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0.168,4.27666611901606,0,0,18.0546506048892,,0.01,,-4.57288868145929,,,,,1,2,0,0,2,0,0,1,0,0,0,1,0.035,2,0.086,69348.19,3047.984,3504.839,1,0,69348190,18.0546506048892,0,0,1,1,9149,0.01,0.0103280820457359,-4.57288868145929,0.01,,,,,,,,69348190,0,1934,71,,
1943,Germany,255,,,,,,1,0,0,1,0.035,0.086,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0.168,4.29045944114839,0,0,18.0511345338078,,0.03,,-4.55930807790589,,,,,1,2,0,0,2,0,0,1,0,0,0,1,0.035,2,0.086,69104.785,3462.903,3329.839,1,0,69104785,18.0511345338078,0,0,1,1,9389,0.03,0.010469300378125,-4.55930807790589,0.03,,,,,,,,69104785,0,1934,72,,
1944,Germany,255,,,,,,1,0,0,1,0.035,0.086,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0.168,4.30406509320417,0,0,18.0476060563361,,0.03,,-4.80249811716613,,,,,1,2,0,0,2,0,0,1,0,0,0,1,0.035,2,0.086,68861.38,2729.032,2753.226,1,0,68861380,18.0476060563361,0,0,1,1,9698,0.03,0.00820921383451008,-4.80249811716613,0.03,,,,,,,,68861380,0,1934,73,,
1945,Germany,255,0,0,0,0,0,,,,,,,,,,,,,0,,0,0,1,0,0,0,0.168,4.31748811353631,0,0,,,,0,,0,0.072,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1934,74,0,0
1946,Germany,255,0,0,0,0,0,,,,,,,,,,,,,0,,0,0,1,0,0,0,0.168,4.33073334028633,0,0,,,,0,,0,0.072,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1934,75,0,0
1947,Germany,255,0,0,0,0,0,,,,,,,,,,,,,0,,0,0,1,0,0,0,0.168,4.34380542185368,0,0,,,,0,,0,0.072,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1934,76,0,0
1948,Germany,255,0,0,0,0,0,,,,,,,,,,,,,0,,0,0,1,0,0,0,0.168,4.35670882668959,0,0,,,,0,,0,0.072,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1934,77,0,0
1949,Germany,255,0,0,0,0,0,1,4,2,4,0.889,1.643,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.36944785246702,0,0,18.0440650846123,,-0.46,0,,0,0.072,0,0,4,4,4,4,2,4,3,1,4,4,2,4,0.889,3,1.643,68617.975,,,3,2,68617975,18.0440650846123,4,2,0,0,5231,-0.46,,,-0.46,,,,,,,,68617975,0,1934,78,0,0
1950,Germany,255,0,0,0,0,0,1,4,1,4,0.905,1.643,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.38202663467388,0,0,18.0405115298384,,0.18,0,,0,0.073,0,0,4,4,4,4,2,4,3,1,4,4,1,4,0.905,3,1.643,68374.57,,,3,2,68374570,18.0405115298384,4,2,0,0,6186,0.18,,,0.18,,,,,,,,68374570,0,1934,79,0,0
1951,Germany,255,0,0,0,0,0,1,4,2,4,0.905,1.643,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.39444915467244,0,0,18.0464991634837,,0.08,0,,0,0.074,0,0,4,4,4,4,2,4,3,1,4,4,2,4,0.905,3,1.643,68785.2,,,3,2,68785200,18.0464991634837,4,2,0,0,6704,0.08,,,0.08,,,,,,,,68785200,0,1934,80,0,0
1952,Germany,255,0,0,0,0,0,1,3,1,4,0.905,1.643,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.40671924726425,0,0,18.0524511586566,,0.08,0,,0,0.076,0,0,4,4,4,4,2,4,3,1,3,4,1,4,0.905,3,1.643,69195.83,,,3,2,69195830,18.0524511586566,4,1,0,0,7257,0.08,,,0.08,,,,,,,,69195830,0,1934,81,0,0
1953,Germany,255,0,0,0,0,0,1,4,1,4,0.905,1.643,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.4188406077966,0,0,18.0583679370895,,0.08,0,,0,0.077,0,0,4,4,4,4,2,4,3,1,4,4,1,4,0.905,3,1.643,69606.46,,,3,2,69606460,18.0583679370895,4,2,0,0,7818,0.08,,,0.08,,,,,,,,69606460,0,1934,82,0,0
1954,Germany,255,0,0,0,0,0,1,4,1,4,0.905,1.643,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.43081679884331,0,0,18.0642499130728,,0.07,0,,0,0.078,0,0,4,4,4,4,2,4,3,1,4,4,1,4,0.905,3,1.643,70017.09,,,3,2,70017090,18.0642499130728,4,2,0,0,8364,0.07,,,0.07,,,,,,,,70017090,0,1934,83,0,0
1955,Germany,255,0,0,0,0,0,1,4,1,4,0.905,1.643,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.44265125649032,0,0,18.0700974936291,,0.1,0,-4.01257490004622,0,0.079,0,0,4,4,4,4,2,4,3,1,4,4,1,4,0.905,3,1.643,70427.72,6090,5680,3,2,70427720,18.0700974936291,4,2,0,0,9240,0.1,0.0180867636182106,-4.01257490004622,0.1,,,,,,,,70427720,0,1934,84,0,0
1956,Germany,255,0,0,0,0,0,1,3,1,4,0.905,1.643,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.45434729625351,0,0,18.0759110786822,,0.07,0,-3.92062565637725,0,0.08,0,0,4,4,4,4,2,4,3,1,3,4,1,4,0.905,3,1.643,70838.35,7300,6530,3,2,70838350,18.0759110786822,4,1,0,0,9846,0.07,0.0198286849194598,-3.92062565637725,0.07,,,,,,,,70838350,0,1934,85,0,0
1957,Germany,255,0,0,0,0,0,1,4,1,4,0.905,1.643,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.46590811865458,0,0,18.0816910612211,,0.05,0,-3.83476964365864,0,0.082,0,0,4,4,4,4,2,4,3,1,4,4,1,4,0.905,3,1.643,71248.98,8510,7420,3,2,71248980,18.0816910612211,4,2,0,0,10348,0.05,0.0216063150486455,-3.83476964365864,0.05,,,,,,,,71248980,0,1934,86,0,0
1958,Germany,255,0,0,0,0,0,1,4,1,4,0.905,1.643,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.47733681447821,0,0,18.0874378274595,,0.04,0,-3.87072364193298,0,0.083,0,0,4,4,4,4,2,4,3,1,4,4,1,4,0.905,3,1.643,71659.61,8750,7290,3,2,71659610,18.0874378274595,4,2,0,0,10739,0.04,0.0208432808944503,-3.87072364193298,0.04,,,,,,,,71659610,0,1934,87,0,0
1959,Germany,255,0,0,0,0,0,1,4,1,4,0.905,1.643,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.48863636973214,0,0,18.0931517569908,,0.07,0,-3.81774088436336,0,0.084,0,0,4,4,4,4,2,4,3,1,4,4,1,4,0.905,3,1.643,72070.24,9750,8370,3,2,72070240,18.0931517569908,4,2,0,0,11440,0.07,0.0219773943296995,-3.81774088436336,0.07,,,,,,,,72070240,0,1934,88,0,0
