"","variable","coef.full","or.full","coef.alt","or.alt","coef.noprev","or.noprev"
"1","(Intercept)","67.9594",3.2687839234613e+29,"43.1416",5447097018619831296,"67.6722",2.45272684653871e+29
"2","mean_mk_onset","-2.6771",0.0688,"-1.2446",0.2881,"-2.7289",0.0653
"3","mk_onset_prev_year","-0.1349",0.8738,"-0.2617",0.7697,NA,NA
"4","year","-0.027",0.9733,"-0.0183",0.9818,"-0.0269",0.9734
"5","year_sq","0",1,"0",1,"0",1
"6","mk_ever","0.9557",2.6005,"0.7731",2.1664,"0.9542",2.5966
"7","mk_ongoing_count_log","-0.3251",0.7224,"-0.2396",0.7869,"-0.3341",0.716
"8","newcountry","2.191",8.9445,"1.796",6.0257,"2.1794",8.8407
"9","widetargeting","0",1,"0",1,"0",1
"10","narrowtargeting","0.2913",1.3381,"0.2456",1.2783,"0.2934",1.341
"11","reg.afr","1.1542",3.1715,"0.9063",2.4751,"1.151",3.1612
"12","reg.eap","0.7848",2.192,"0.7013",2.0164,"0.7845",2.1914
"13","reg.eur","0.6047",1.8307,"0.2733",1.3142,"0.601",1.824
"14","reg.mna","0.9004",2.4605,"0.7229",2.0604,"0.8972",2.4528
"15","reg.sca","1.1841",3.2679,"0.9824",2.6709,"1.1804",3.2556
"16","countryage_new_ln","0.6031",1.8278,"0.4889",1.6305,"0.602",1.8258
"17","wdi.popsize.log2","0.1357",1.1454,"0.1239",1.1319,"0.1362",1.146
"18","gdppcgrowth.combined","-0.9941",0.3701,"-0.6911",0.501,"-0.9722",0.3783
"19","ios.iccpr1","-0.0609",0.9409,"-0.112",0.8941,"-0.0607",0.9411
"20","includesnonstate","0.3148",1.3699,"0.1277",1.1362,"0.3138",1.3686
"21","minorityrule","0.0578",1.0595,"0.1599",1.1734,"0.0575",1.0591
"22","battledeaths.ln2","0.0339",1.0345,"0.0389",1.0397,"0.0339",1.0345
"23","judicialreform","0.1",1.1052,"0.1132",1.1199,"0.1011",1.1064
"24","religiousfreedom","-0.1412",0.8683,"-0.0883",0.9155,"-0.1406",0.8688
"25","pol_killing_approved","0.6536",1.9225,"0.6164",1.8523,"0.6539",1.9231
"26","freediscussion","-0.336",0.7146,"-0.1028",0.9023,"-0.3393",0.7123
"27","social_inequality","0.0376",1.0384,"0.0029",1.0029,"0.0382",1.039
"28","even_civilrights","-1.3834",0.2507,"-1.0038",0.3665,"-1.3824",0.251
"29","repress_civilsoc","-0.1693",0.8442,"-0.3269",0.7211,"-0.1674",0.8458
"30","social_power_dist","-0.1486",0.8619,"0",1,"-0.1478",0.8626
"31","ses_power_dist","-0.0829",0.9204,"-0.0874",0.9163,"-0.0826",0.9207
"32","tradeshare.log2.combined","0",1,"4e-04",1.0004,"0",1
"33","coup.try.5yr","0.5471",1.7282,"0.5762",1.7792,"0.5453",1.7251
"34","efindex","0.257",1.293,"0",1,"0.2583",1.2948
"35","discrimpop","1.1982",3.3141,"0.8564",2.3547,"1.2018",3.326
"36","partyban.new.0","-0.5785",0.5607,"-0.508",0.6017,"-0.5757",0.5623
"37","partyban.new.1","0.0885",1.0926,"0.1033",1.1088,"0.0903",1.0945
"38","partyban.new.2","0",1,"0",1,"0",1
"39","v2csgender_binary","-0.4359",0.6467,"-0.2102",0.8105,"-0.4381",0.6453
"40","v2mecenefm_binary","0",1,"0",1,"0",1
"41","imr.fwd.fill.sqrt","0.0458",1.0468,NA,NA,"0.0459",1.047
"42","imr.all.fill.sqrt",NA,NA,"0.0848",1.0885,NA,NA
