"","country","risk_1or2.from2022","risk_rank.from2022","risk_1or2.alt","risk_rank.alt","risk_1or2.noprev","risk_rank.noprev"
"1","Afghanistan",0.0653,1,0.0621,5,0.0652,1
"2","Pakistan",0.061,2,0.0655,2,0.0606,2
"3","Yemen (unified)",0.0587,3,0.0694,1,0.0588,3
"4","Sudan",0.0567,4,0.0642,4,0.0563,4
"5","India",0.0528,5,0.0597,6,0.0525,5
"6","Ethiopia",0.051,6,0.0647,3,0.0505,6
"7","Guinea",0.0446,7,0.0446,8,0.0448,7
"8","Somalia",0.0385,8,0.0519,7,0.038,8
"9","Bangladesh",0.0363,9,0.0376,10,0.0364,9
"10","Tajikistan",0.0347,10,0.0374,11,0.0348,10
"11","China",0.032,11,0.0307,17,0.0323,11
"12","Nigeria",0.032,12,0.0399,9,0.0315,12
"13","Uganda",0.0301,13,0.0303,18,0.0301,13
"14","Indonesia",0.0299,14,0.036,12,0.03,14
"15","Mali",0.0287,15,0.0319,16,0.0288,15
"16","Syria",0.0271,16,0.0267,24,0.0267,18
"17","Congo, Democratic Republic of (Zaire)",0.027,17,0.0349,13,0.0268,17
"18","Congo",0.0267,18,0.0208,35,0.0268,16
"19","Mozambique",0.0266,19,0.0261,26,0.0267,19
"20","Iran (Persia)",0.0256,20,0.0228,29,0.0257,20
"21","Nepal",0.0253,21,0.0205,36,0.0253,22
"22","Thailand",0.0253,22,0.0287,21,0.0254,21
"23","Egypt",0.0245,23,0.0291,19,0.0246,23
"24","Niger",0.0244,24,0.0276,22,0.0244,24
"25","Angola",0.0243,25,0.0275,23,0.0244,25
"26","Tanzania/Tanganyika",0.0242,26,0.0225,31,0.0242,26
"27","Chad",0.0236,27,0.033,14,0.0236,28
"28","Laos",0.0235,28,0.0265,25,0.0237,27
"29","Burkina Faso (Upper Volta)",0.023,29,0.0255,27,0.0231,29
"30","South Africa",0.0228,30,0.0217,33,0.0229,30
"31","Russia (Soviet Union)",0.0217,31,0.0116,51,0.0218,32
"32","Philippines",0.0209,32,0.029,20,0.0208,33
"33","Myanmar (Burma)",0.0204,33,0.033,15,0.0229,31
"34","Cote D’Ivoire",0.0201,34,0.0223,32,0.0202,34
"35","Turkey (Ottoman Empire)",0.0193,35,0.0157,44,0.0193,35
"36","Rwanda",0.0187,36,0.0228,30,0.0188,36
"37","Liberia",0.0187,37,0.0185,39,0.0187,37
"38","Sierra Leone",0.0182,38,0.0186,38,0.0182,38
"39","Algeria",0.0173,39,0.0176,41,0.0173,39
"40","Cambodia (Kampuchea)",0.0172,40,0.0209,34,0.0173,40
"41","Central African Republic",0.016,41,0.0205,37,0.0159,42
"42","Malawi",0.016,42,0.0164,43,0.016,41
"43","Iraq",0.0158,43,0.0232,28,0.0156,43
"44","Vietnam, Democratic Republic of",0.015,44,0.018,40,0.0151,44
"45","Mauritania",0.0125,45,0.0143,46,0.0125,45
"46","Morocco",0.0124,46,0.0118,50,0.0125,46
"47","Cameroon",0.0123,47,0.0175,42,0.0123,47
"48","Kenya",0.0114,48,0.0124,48,0.0115,48
"49","Libya",0.0106,49,0.0111,52,0.0107,49
"50","Togo",0.0098,50,0.0099,58,0.0098,50
"51","Gabon",0.0092,51,0.0131,47,0.0092,51
"52","Zimbabwe (Rhodesia)",0.0089,52,0.0153,45,0.0089,52
"53","Azerbaijan",0.0089,53,0.0101,56,0.0089,53
"54","Colombia",0.0081,54,0.01,57,0.0081,54
"55","Papua New Guinea",0.008,55,0.011,53,0.008,55
"56","Jordan",0.0074,56,0.011,54,0.0074,56
"57","Madagascar",0.007,57,0.0096,59,0.007,57
"58","Guinea-Bissau",0.0069,58,0.0095,60,0.007,58
"59","Haiti",0.0067,59,0.0121,49,0.0067,59
"60","Malaysia",0.0067,60,0.0089,61,0.0067,60
"61","Zambia",0.0067,61,0.0074,62,0.0067,61
"62","Senegal",0.0066,62,0.0071,63,0.0066,62
"63","Burundi",0.0062,63,0.0105,55,0.0062,64
